date,sentiment_mean,sentiment_std,tweet_count,positive_ratio,negative_ratio,neutral_ratio,weighted_sentiment_mean
2025-08-27,0.2688,0.4710,120,0.5583,0.1583,0.2833,0.3056
2025-08-28,0.3291,0.4794,120,0.5583,0.1250,0.3167,0.3204
2025-08-29,0.2358,0.4612,120,0.5500,0.1667,0.2833,0.2200
2025-08-30,0.3431,0.5071,120,0.6167,0.1917,0.1917,0.3334
2025-08-31,0.3568,0.4758,120,0.6917,0.1250,0.1833,0.3621
2025-09-01,0.2737,0.5079,119,0.5798,0.1849,0.2353,0.2881
2025-09-02,0.2508,0.5153,120,0.5500,0.2083,0.2417,0.2639
2025-09-03,0.3753,0.4698,119,0.7059,0.1008,0.1933,0.3905
2025-09-04,0.3214,0.4786,100,0.6000,0.1300,0.2700,0.3255
2025-09-05,0.3728,0.4675,119,0.6891,0.1261,0.1849,0.3786
2025-09-06,0.3061,0.4869,120,0.6500,0.1833,0.1667,0.2800
2025-09-07,0.2707,0.4795,120,0.6000,0.2000,0.2000,0.2724
2025-09-08,0.3058,0.4943,119,0.6218,0.1933,0.1849,0.2896
2025-09-09,0.2953,0.4658,119,0.5462,0.1261,0.3277,0.3142
2025-09-10,0.3458,0.4627,120,0.6917,0.1250,0.1833,0.3619
2025-09-11,0.3390,0.4488,119,0.6639,0.1429,0.1933,0.3332
2025-09-12,0.2556,0.5119,119,0.5630,0.1933,0.2437,0.2357
2025-09-13,0.3554,0.4780,120,0.6250,0.1167,0.2583,0.3754
2025-09-14,0.4020,0.5098,120,0.6833,0.1750,0.1417,0.4400
2025-09-15,0.2580,0.5033,120,0.5250,0.1667,0.3083,0.2548
2025-09-16,0.3825,0.4726,120,0.6667,0.1417,0.1917,0.4001
2025-09-17,0.3863,0.4787,120,0.7250,0.1333,0.1417,0.4165
2025-09-18,0.3008,0.4741,120,0.5833,0.1500,0.2667,0.3125
2025-09-19,0.3277,0.4657,120,0.6250,0.1500,0.2250,0.3472
2025-09-20,0.3523,0.4690,100,0.6200,0.1100,0.2700,0.3593
2025-09-21,0.3187,0.5346,120,0.6333,0.1667,0.2000,0.3446
2025-09-22,0.2362,0.5071,120,0.5667,0.2083,0.2250,0.2549
2025-09-23,0.3459,0.4914,120,0.6583,0.1500,0.1917,0.3525
2025-09-24,0.3532,0.4976,120,0.6500,0.1417,0.2083,0.3691
2025-09-25,0.3659,0.4818,120,0.6667,0.1500,0.1833,0.3809
2025-09-26,0.2467,0.5443,120,0.5833,0.2167,0.2000,0.2502
2025-09-27,0.3338,0.5038,120,0.6083,0.1667,0.2250,0.3495
2025-09-28,0.2481,0.4825,120,0.5333,0.2083,0.2583,0.2699
