bucket,sentiment_mean,tweet_count,weighted_sentiment_mean
2025-06-29 00:00:00,0.2012,20,0.1868
2025-06-29 04:00:00,0.3241,20,0.3875
2025-06-29 08:00:00,0.2175,20,0.2478
2025-06-29 12:00:00,0.1493,20,0.1423
2025-06-29 16:00:00,0.1598,20,0.2006
2025-06-29 20:00:00,0.2252,20,0.2365
2025-06-30 00:00:00,0.5076,20,0.4667
2025-06-30 04:00:00,0.3737,20,0.3542
2025-06-30 08:00:00,0.4668,20,0.4446
2025-06-30 12:00:00,0.1912,20,0.2392
2025-06-30 16:00:00,0.4404,20,0.3822
2025-06-30 20:00:00,0.1916,20,0.1705
2025-07-01 00:00:00,0.3699,20,0.3972
2025-07-01 04:00:00,0.2035,20,0.1976
2025-07-01 08:00:00,0.1941,20,0.1068
2025-07-01 12:00:00,0.1801,20,0.2278
2025-07-01 16:00:00,0.2867,20,0.3482
2025-07-01 20:00:00,0.3461,20,0.2772
2025-07-02 00:00:00,0.0601,20,0.0700
2025-07-02 04:00:00,0.3495,19,0.3637
2025-07-02 08:00:00,0.4371,20,0.4680
2025-07-02 12:00:00,0.4708,18,0.4743
2025-07-02 16:00:00,0.3672,20,0.4154
2025-07-02 20:00:00,0.2550,20,0.2678
2025-07-03 00:00:00,0.3460,20,0.3422
2025-07-03 04:00:00,0.4692,20,0.4703
2025-07-03 08:00:00,0.4836,20,0.4995
2025-07-03 12:00:00,0.1264,20,0.1634
2025-07-03 16:00:00,0.4168,20,0.3958
2025-07-03 20:00:00,0.2918,20,0.3249
2025-07-04 00:00:00,0.2350,20,0.2463
2025-07-04 04:00:00,0.4609,20,0.4687
2025-07-04 08:00:00,0.2693,20,0.2672
2025-07-04 12:00:00,0.2628,20,0.2449
2025-07-04 16:00:00,0.3442,20,0.2968
2025-07-04 20:00:00,0.3564,20,0.4142
2025-07-05 00:00:00,0.3192,20,0.3363
2025-07-05 04:00:00,0.4329,20,0.3791
2025-07-05 08:00:00,0.3550,19,0.3178
2025-07-05 12:00:00,0.3570,20,0.3720
2025-07-05 16:00:00,0.4187,20,0.4160
2025-07-05 20:00:00,0.3384,20,0.3432
2025-07-06 00:00:00,0.2424,19,0.2233
2025-07-06 04:00:00,0.4792,20,0.4665
2025-07-06 08:00:00,0.3741,20,0.3978
2025-07-06 12:00:00,0.4588,20,0.4147
2025-07-06 16:00:00,0.3888,20,0.4417
2025-07-06 20:00:00,0.1384,20,0.1468
2025-07-07 00:00:00,0.4515,20,0.4092
2025-07-07 04:00:00,0.2978,20,0.2965
2025-07-07 08:00:00,0.3396,19,0.4075
2025-07-07 12:00:00,0.3190,20,0.4356
2025-07-07 16:00:00,0.3245,20,0.3075
2025-07-07 20:00:00,0.3547,20,0.3254
2025-07-08 00:00:00,0.1451,20,0.1310
2025-07-08 04:00:00,0.4085,20,0.4072
2025-07-08 08:00:00,0.3116,20,0.3404
2025-07-08 12:00:00,0.1792,20,0.0650
2025-07-08 16:00:00,0.3333,20,0.4329
2025-07-08 20:00:00,0.2924,20,0.3855
2025-07-09 00:00:00,0.3349,20,0.3734
2025-07-09 04:00:00,0.4416,20,0.4255
2025-07-09 08:00:00,0.2641,20,0.2488
2025-07-09 12:00:00,0.2884,20,0.2392
2025-07-09 16:00:00,0.2144,20,0.2264
2025-07-09 20:00:00,0.3175,20,0.3430
2025-07-10 00:00:00,0.3253,20,0.2229
2025-07-10 04:00:00,0.3323,20,0.3759
2025-07-10 08:00:00,0.2161,20,0.2101
2025-07-10 12:00:00,0.2139,20,0.2053
2025-07-10 16:00:00,0.1671,20,0.1709
2025-07-10 20:00:00,0.2781,20,0.3289
2025-07-11 00:00:00,0.2640,20,0.2239
2025-07-11 04:00:00,0.3241,20,0.3256
2025-07-11 08:00:00,0.3209,20,0.3341
2025-07-11 12:00:00,0.2944,20,0.2576
2025-07-11 16:00:00,0.3527,20,0.3380
2025-07-11 20:00:00,0.3554,20,0.3297
2025-07-12 00:00:00,0.1964,20,0.2027
2025-07-12 04:00:00,0.3851,20,0.3700
2025-07-12 08:00:00,0.2891,20,0.1586
2025-07-12 12:00:00,0.3571,20,0.3206
2025-07-12 16:00:00,0.2361,20,0.1717
2025-07-12 20:00:00,0.2373,20,0.2091
2025-07-13 00:00:00,0.1964,20,0.1876
2025-07-13 04:00:00,0.3827,20,0.3706
2025-07-13 08:00:00,0.4204,20,0.4604
2025-07-13 12:00:00,0.2503,20,0.2947
