,date,count,normalized
154,2022-03-23,21,0.3176
153,2022-03-24,33,0.5132
152,2022-03-25,30,0.4027
151,2022-03-26,7,0.086
150,2022-03-27,11,0.5425
149,2022-03-28,23,0.2951
148,2022-03-29,41,0.3703
147,2022-03-30,20,0.2079
146,2022-03-31,30,0.4581
145,2022-04-01,33,0.3364
144,2022-04-02,14,0.2688
143,2022-04-03,5,-0.0244
142,2022-04-04,39,0.2816
141,2022-04-05,31,0.417
140,2022-04-06,37,0.2404
139,2022-04-07,31,0.3889
138,2022-04-08,33,0.1702
137,2022-04-09,10,0.4617
136,2022-04-10,2,0.523
135,2022-04-11,32,0.1947
134,2022-04-12,36,0.2487
133,2022-04-13,34,0.452
132,2022-04-14,34,0.2811
131,2022-04-15,16,0.4939
130,2022-04-16,5,0.4888
129,2022-04-17,7,-0.1754
128,2022-04-18,29,0.371
127,2022-04-19,22,0.3365
126,2022-04-20,33,0.3331
125,2022-04-21,34,0.4975
124,2022-04-22,34,0.2479
123,2022-04-23,6,0.0795
122,2022-04-24,2,0.0
121,2022-04-25,33,0.3546
120,2022-04-26,18,0.4222
119,2022-04-27,22,0.3548
118,2022-04-28,9,0.4231
117,2022-04-29,24,0.244
116,2022-04-30,5,-0.1296
115,2022-05-01,2,0.362
114,2022-05-02,21,0.3101
113,2022-05-03,20,0.2861
112,2022-05-04,19,0.1048
111,2022-05-05,29,0.4314
110,2022-05-06,28,0.2589
109,2022-05-08,11,0.2256
108,2022-05-09,13,0.1061
107,2022-05-10,33,0.3501
106,2022-05-11,29,0.2586
105,2022-05-12,14,-0.0843
104,2022-05-13,18,-0.1647
103,2022-05-16,22,0.09
102,2022-05-17,13,0.2102
101,2022-05-18,28,0.2425
100,2022-05-19,21,0.0626
99,2022-05-20,27,0.1338
98,2022-05-21,3,0.0887
97,2022-05-22,3,0.0177
96,2022-05-23,23,0.3257
95,2022-05-24,11,0.2797
94,2022-05-25,25,0.0757
93,2022-05-26,16,0.0653
92,2022-05-27,11,-0.0392
91,2022-05-28,4,-0.0903
90,2022-05-30,15,0.2323
89,2022-05-31,23,0.4465
88,2022-06-01,20,0.2863
87,2022-06-02,26,0.0257
86,2022-06-03,18,0.0173
85,2022-06-04,2,0.321
84,2022-06-05,2,0.0
83,2022-06-06,7,0.0249
82,2022-06-07,6,-0.176
81,2022-06-08,14,0.391
80,2022-06-09,12,0.2136
79,2022-06-10,35,0.2891
78,2022-06-11,12,-0.2886
77,2022-06-12,5,-0.152
76,2022-06-13,22,0.008
75,2022-06-14,12,0.0066
74,2022-06-15,25,-0.0055
73,2022-06-16,30,0.2142
72,2022-06-17,29,-0.0121
71,2022-06-18,13,-0.0115
70,2022-06-19,2,-0.142
69,2022-06-20,25,0.1962
68,2022-06-21,25,0.1571
67,2022-06-22,21,0.127
