timestamp,open,high,low,close,volume
2018-01-01,4.834374108049261,5.384285098911683,4.8027676136678465,5.318849086761475,2433712000
2018-01-08,5.442315391262311,5.587262688025731,5.333666499284345,5.506022930145264,2726828000
2018-01-15,5.532445333382371,5.706283024076643,5.350705544127638,5.682084083557129,2258768000
2018-01-22,5.689982115498968,6.008767396422813,5.63244773428291,6.008520603179932,2532384000
2018-01-29,5.993953168425622,6.155197737109557,5.708256484793646,5.766284465789795,2742212000
2018-02-05,5.605288363389299,5.898886734378586,5.03735139346695,5.7307281494140625,5901540000
2018-02-12,5.811720582838684,6.1732248004750225,5.556643171456813,6.021116733551025,3800240000
2018-02-19,6.043586715959929,6.221869464832498,5.913949099168069,6.072724342346191,2528196000
2018-02-26,6.122702320880282,6.150128483611749,5.4815231620254234,5.844487190246582,3401412000
2018-03-05,5.7943311758744045,6.074522423621407,5.671036885083223,6.06167459487915,2756228000
2018-03-12,6.102936392084137,6.288248220127919,6.0792163122066665,6.188920974731445,2531736000
2018-03-19,6.13209130602183,6.2264767769249225,5.745160264654728,5.756278991699219,2993972000
2018-03-26,5.880561829928571,6.1770609437368815,5.361689087672553,5.722182273864746,3882956000
2018-04-02,5.651763506218566,5.797789120879104,5.2645850157665715,5.293740749359131,3742920000
2018-04-09,5.356746847143863,5.868454318867843,5.302388414082037,5.7199578285217285,2818400000
2018-04-16,5.726628632477042,5.911446062576597,5.603828747278973,5.651021480560303,2047576000
2018-04-23,5.668811900902804,5.719957669218461,5.196143226497573,5.5922160148620605,2207268000
2018-04-30,5.608523913352884,5.9099647785900515,5.4901714071454535,5.906752586364746,1693684000
2018-05-07,6.011267831133963,6.436496336479058,6.001384308915609,6.28898811340332,3999528000
2018-05-14,6.327040143071403,6.386834236962578,5.967040846153564,6.076745510101318,3043996000
2018-05-21,6.174095570703563,6.177801656103287,5.936154897068434,6.159270286560059,2331328000
2018-05-28,6.1450323350557685,6.375455875053813,6.099293943540123,6.369274616241455,1659516000
2018-06-04,6.40339221983166,6.591043947613292,6.371251848136754,6.484485626220703,2134996000
2018-06-11,6.471875466664135,6.655571217163752,6.419708733084479,6.558160305023193,1785016000
2018-06-18,6.514153931150265,6.571512593010347,6.189039933407088,6.2043681144714355,2114656000
2018-06-25,6.098058171806116,6.101766549962315,5.810275954850421,5.857003688812256,2328904000
2018-07-02,5.787529357085749,6.123274736456235,5.767008788576829,6.114868640899658,1182872000
2018-07-09,6.189039887749184,6.283236169230764,6.083717530237324,6.164068698883057,1623900000
2018-07-16,6.136379565373137,6.287193236857873,6.061714499602394,6.20288610458374,1294916000
2018-07-23,6.176430506345084,6.344055865179182,6.014738362872329,6.2308220863342285,1595860000
2018-07-30,6.244913518758129,6.2565333193013535,5.963559767039061,6.2327985763549805,1391840000
2018-08-06,6.220192136909133,6.434050584776443,6.173711974944344,6.299307346343994,1188416000
2018-08-13,6.307960208331983,6.518110266974477,6.025864600772823,6.052813529968262,3377012000
2018-08-20,6.012265687685178,6.744823410628786,5.9019985300542865,6.730236530303955,3530428000
2018-08-27,6.75990648406491,6.965112209822578,6.6637319796140755,6.939399719238281,2054468000
2018-09-03,6.930084478401645,7.055501315653425,6.609492424088,6.725014686584473,1403092000
2018-09-10,6.747524410100581,6.904109774042702,6.479127205033095,6.838061809539795,1574816000
2018-09-17,6.8125835353309245,6.882836380955101,6.4838280364211505,6.516975402832031,1595620000
2018-09-24,6.486052286576782,6.973866788325046,6.398978075550586,6.951603412628174,1766672000
2018-10-01,7.029278837724784,7.242017105094653,6.618148985182396,6.675539016723633,2144432000
2018-10-08,6.59242296898123,6.707697510524076,5.794900810695565,6.0986714363098145,2700724000
2018-10-15,6.085315369932432,6.181295260105837,5.632627301232561,5.668990612030029,2325768000
2018-10-22,5.721183460606432,5.82112094984176,4.777217888420696,4.905108451843262,3496072000
2018-10-29,5.04611123443143,5.4916256842249105,4.353968442544018,5.3164873123168945,3330468000
2018-11-05,5.303374414775183,5.378080295533944,4.973135119078118,5.087667465209961,2086748000
2018-11-12,4.9963906887774705,5.117602209693725,3.9977555499231276,4.067514419555664,4592636000
2018-11-19,4.002206832381741,4.002948536098271,3.2976956411153755,3.58687162399292,4827316000
2018-11-26,3.7078355597427053,4.053411901726064,3.6254611589205235,4.0427751541137695,3636152000
2018-12-03,4.273886365850262,4.325390950721662,3.6058130711508896,3.6550889015197754,3076900000
2018-12-10,3.6102698849320363,3.860116366375261,3.586003430329772,3.6263651847839355,2898724000
2018-12-17,3.5964031278395314,3.7224406202543374,3.1809000985336753,3.208385705947876,3585932000
2018-12-24,3.1321200037673833,3.4020236512278625,3.0818535346873506,3.3094143867492676,2424712000
2018-12-31,3.352747508385536,3.4290137514387826,3.1618340645676026,3.372309446334839,2265064000
2019-01-07,3.429509074587312,3.7080792986049738,3.378251972007239,3.685298442840576,3510356000
2019-01-14,3.6330508614892993,3.911868797573999,3.6095270880714985,3.885868787765503,2962056000
2019-01-21,3.855659710258225,3.9836780228449444,3.653603436114134,3.965601921081543,3116116000
2019-01-28,3.381223568469969,3.634784430377582,3.2437957453663815,3.583775043487549,6107588000
2019-02-04,3.5996218949210173,3.85293522335141,3.5689173707020836,3.668955087661743,2872204000
2019-02-11,3.6248789451821946,4.057714896483495,3.5780791232243008,3.8960206508636475,4035624000
2019-02-18,3.8853740467633338,3.9930877448687463,3.8425360495013376,3.94183087348938,1943168000
2019-02-25,4.025277983007039,4.092629914402178,3.7912788329744336,3.873983383178711,2326872000
2019-03-04,3.9163967562913546,3.9392010934501496,3.58920395909673,3.733962059020996,2048960000
2019-03-11,3.7575095321655154,4.251768511099473,3.710413496862811,4.209134578704834,3389072000
2019-03-18,4.240614636211779,4.585654178135831,4.160799341378254,4.399749279022217,3633068000
