feature_set,model,status,accuracy,roc_auc,f1,precision,recall
baseline_market_features,LogisticRegression,trained,0.46808510638297873,0.4628930817610063,0.4956772334293948,0.4574468085106383,0.5408805031446541
baseline_market_features,RandomForestClassifier,trained,0.48024316109422494,0.4525712171661117,0.35471698113207545,0.44339622641509435,0.29559748427672955
baseline_market_features,SVM_RBF,trained,0.47720364741641336,0.478394376618572,0.3900709219858156,0.44715447154471544,0.34591194968553457
baseline_market_features,XGBoost,trained,0.44984802431610943,0.4510173880873104,0.39867109634551495,0.4225352112676056,0.37735849056603776
market_plus_sentiment_core,LogisticRegression,trained,0.4376899696048632,0.44195338512763593,0.44776119402985076,0.42613636363636365,0.4716981132075472
market_plus_sentiment_core,RandomForestClassifier,trained,0.42249240121580545,0.4347021827598964,0.375,0.3931034482758621,0.3584905660377358
market_plus_sentiment_core,SVM_RBF,trained,0.48328267477203646,0.4983351831298558,0.519774011299435,0.4717948717948718,0.5786163522012578
market_plus_sentiment_core,XGBoost,trained,0.48936170212765956,0.4522382537920828,0.44,0.46808510638297873,0.41509433962264153
market_plus_sentiment_core_derived,LogisticRegression,trained,0.45896656534954405,0.42648908620051795,0.43670886075949367,0.4394904458598726,0.4339622641509434
market_plus_sentiment_core_derived,RandomForestClassifier,trained,0.425531914893617,0.4328893821679616,0.4489795918367347,0.41847826086956524,0.48427672955974843
market_plus_sentiment_core_derived,SVM_RBF,trained,0.45592705167173253,0.45775064742878274,0.484149855907781,0.44680851063829785,0.5283018867924528
market_plus_sentiment_core_derived,XGBoost,trained,0.47112462006079026,0.47462079171291155,0.4727272727272727,0.45614035087719296,0.49056603773584906
