tweet_id,created_at,engagement_weight,sentiment_score,sentiment_label
1931561239223689381,2025-06-08T03:57:40+00:00,0.4981,0.0,null
1931561250464350649,2025-06-08T03:57:43+00:00,0.916,0.0,null
1931561268235624804,2025-06-08T03:57:47+00:00,0.6011,0.0,null
1931561277257638251,2025-06-08T03:57:49+00:00,0.737,0.0,null
1931561318487654755,2025-06-08T03:57:59+00:00,0.4902,0.0,null
1931561426218254338,2025-06-08T03:58:25+00:00,0.3722,0.0,null
1931561445537243523,2025-06-08T03:58:29+00:00,0.7554,0.0,null
1931561489506201972,2025-06-08T03:58:40+00:00,0.9051,0.0,null
1931561573476356367,2025-06-08T03:59:00+00:00,1.7927,0.0,null
1931561572717178956,2025-06-08T03:59:00+00:00,0.5206,0.0,null
1931561590824026204,2025-06-08T03:59:04+00:00,0.4696,0.0,null
1931561601452151260,2025-06-08T03:59:07+00:00,1.3594,0.0,null
1931561610973450702,2025-06-08T03:59:09+00:00,0.7275,0.0,null
1931561609379348917,2025-06-08T03:59:09+00:00,0.3254,0.0,null
1931561628383809685,2025-06-08T03:59:13+00:00,0.8752,0.0,null
1931561713322655962,2025-06-08T03:59:33+00:00,0.6115,0.0,null
1931561727013048506,2025-06-08T03:59:37+00:00,0.7475,0.0,null
1931561766728736857,2025-06-08T03:59:46+00:00,0.3363,0.0,null
1931561774559469736,2025-06-08T03:59:48+00:00,0.4034,0.0,null
1931561780225905079,2025-06-08T03:59:49+00:00,1.4453,0.0,null
1931621089559634420,2025-06-08T07:55:30+00:00,0.6432,0.0,null
1931621094290538648,2025-06-08T07:55:31+00:00,1.1527,0.0,null
1931621120958202315,2025-06-08T07:55:37+00:00,0.9446,0.0,null
1931621205594792437,2025-06-08T07:55:57+00:00,0.6704,0.0,null
1931621223139533072,2025-06-08T07:56:02+00:00,2.1987,0.0,null
1931621390857257071,2025-06-08T07:56:42+00:00,2.1635,0.0,null
1931621485849821282,2025-06-08T07:57:04+00:00,0.8641,0.0,null
1931621566934098084,2025-06-08T07:57:24+00:00,0.692,0.0,null
1931621597317624177,2025-06-08T07:57:31+00:00,1.7431,0.0,null
1931621719430631581,2025-06-08T07:58:00+00:00,0.7197,0.0,null
1931621719175008707,2025-06-08T07:58:00+00:00,2.391,0.0,null
1931621738028372394,2025-06-08T07:58:04+00:00,0.8922,0.0,null
1931621762980081815,2025-06-08T07:58:10+00:00,0.5064,0.0,null
1931621809667109138,2025-06-08T07:58:21+00:00,0.9937,0.0,null
1931621824380465305,2025-06-08T07:58:25+00:00,0.8582,0.0,null
1931621831976333408,2025-06-08T07:58:27+00:00,0.6931,0.0,null
1931621954571968807,2025-06-08T07:58:56+00:00,1.4995,0.0,null
1931621971965706628,2025-06-08T07:59:00+00:00,0.9646,0.0,null
1931622075862851904,2025-06-08T07:59:25+00:00,0.3865,0.0,null
1931622077158637628,2025-06-08T07:59:25+00:00,0.7853,0.0,null
1931681879876337807,2025-06-08T11:57:03+00:00,0.5792,0.0,null
1931681999309193288,2025-06-08T11:57:32+00:00,0.6108,0.0,null
1931682082381496532,2025-06-08T11:57:52+00:00,0.6216,0.0,null
1931682083677561156,2025-06-08T11:57:52+00:00,1.1873,0.0,null
1931682087498658084,2025-06-08T11:57:53+00:00,0.915,0.0,null
1931682117391401361,2025-06-08T11:58:00+00:00,2.3316,0.0,null
1931682144025264440,2025-06-08T11:58:06+00:00,1.951,0.0,null
1931682160093667444,2025-06-08T11:58:10+00:00,0.734,0.0,null
1931682176233320886,2025-06-08T11:58:14+00:00,1.2347,0.0,null
1931682183233597915,2025-06-08T11:58:16+00:00,1.127,0.0,null
1931682209150251196,2025-06-08T11:58:22+00:00,0.5523,0.0,null
1931682340243394627,2025-06-08T11:58:53+00:00,0.4863,0.0,null
1931682424762536124,2025-06-08T11:59:13+00:00,0.5558,0.0,null
1931682459583717587,2025-06-08T11:59:21+00:00,0.3491,0.0,null
1931682497361797433,2025-06-08T11:59:30+00:00,0.5265,0.0,null
1931682529905389633,2025-06-08T11:59:38+00:00,1.3164,0.0,null
1931682545965453668,2025-06-08T11:59:42+00:00,1.2984,0.0,null
1931682548142219746,2025-06-08T11:59:43+00:00,1.3119,0.0,null
1931682548611940551,2025-06-08T11:59:43+00:00,1.9434,0.0,null
1931682566794584199,2025-06-08T11:59:47+00:00,0.9579,0.0,null
1931742289442869539,2025-06-08T15:57:06+00:00,0.9147,0.0,null
1931742409093964174,2025-06-08T15:57:35+00:00,0.8982,0.0,null
